Date,OfferName,ReferralDomain,CountryName,PageVisits,GetItNow,ContactMe,TestDrive,FreeTrial
2025-05-24,constellation,ms-pbi.pbi.microsoft.com,Lebanon,1,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Australia,1,1,0,0,0
2025-05-21,constellation,app.powerbi.com,United States,1,1,0,0,0
2025-05-07,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Japan,3,1,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,United States,3,0,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,United States,3,2,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Australia,2,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Iran,2,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,United States,4,0,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,India,2,2,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,Mongolia,2,0,0,0,0
2025-06-04,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,United States,2,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,United Arab Emirates,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Vietnam,1,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Morocco,1,0,0,0,0
2025-05-28,constellation,appsource.microsoft.com,Australia,1,0,0,0,0
2025-05-27,constellation,appsource.microsoft.com,United States,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Japan,3,1,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Chile,1,1,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Thailand,4,3,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,United States,16,7,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Korea,1,0,0,0,0
2025-05-15,constellation,Referral domain not present,Australia,2,0,0,0,0
2025-05-02,constellation,www.google.com,Colombia,1,0,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,United States,5,2,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Mexico,2,0,0,0,0
2025-06-05,constellation,Referral domain not present,Australia,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Chile,3,3,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Singapore,4,2,0,0,0
2025-05-12,constellation,appsource.microsoft.com,United States,1,0,0,0,0
2025-06-05,constellation,appsource.microsoft.com,Korea,2,1,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Ecuador,2,0,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,0,0,0,0
2025-05-07,constellation,ms-pbi.pbi.microsoft.com,Chile,3,0,0,0,0
2025-05-28,constellation,app.powerbi.com,United States,1,1,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,United States,5,3,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Australia,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Japan,2,0,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Mongolia,1,0,0,0,0
2025-05-05,constellation,Referral domain not present,United States,2,0,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,United States,6,2,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Panama,1,0,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Japan,2,2,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,United States,9,4,0,0,0
2025-05-09,constellation,app.powerbi.com,United States,1,0,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Peru,1,1,0,0,0
2025-04-30,constellation,Referral domain not present,United States,16,2,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-19,constellation,app.powerbi.com,Mexico,1,0,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-03,constellation,Referral domain not present,United States,1,1,0,0,0
2025-05-12,constellation,Referral domain not present,Indonesia,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,1,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,El Salvador,1,1,0,0,0
2025-04-30,constellation,appsource.microsoft.com,India,2,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,South Africa,1,0,0,0,0
2025-05-19,constellation,appsource.microsoft.com,Australia,1,1,0,0,0
2025-05-29,constellation,ms-pbi.pbi.microsoft.com,Honduras,2,1,0,0,0
2025-05-29,constellation,app.powerbi.com,Ecuador,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,El Salvador,1,0,0,0,0
2025-05-10,constellation,appsource.microsoft.com,United States,2,1,0,0,0
2025-05-26,constellation,ms-pbi.pbi.microsoft.com,Russia,1,1,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Colombia,2,0,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,United Arab Emirates,1,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Japan,3,2,0,0,0
2025-05-10,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,Congo,1,1,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Uruguay,1,1,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Argentina,2,1,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Costa Rica,2,1,0,0,0
2025-05-28,constellation,appsource.microsoft.com,Korea,3,1,0,0,0
2025-04-29,constellation,appsource.microsoft.com,United States,4,0,0,0,0
2025-06-05,constellation,app.powerbi.com,Australia,1,0,0,0,0
2025-05-13,constellation,app.powerbi.com,New Zealand,2,1,0,0,0
2025-04-29,constellation,appsource.microsoft.com,United Arab Emirates,2,0,0,0,0
2025-05-12,constellation,app.powerbi.com,New Zealand,4,4,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Ghana,2,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Peru,1,1,0,0,0
2025-04-29,constellation,appsource.microsoft.com,Thailand,2,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Angola,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Russia,1,0,0,0,0
2025-05-05,constellation,appsource.microsoft.com,Colombia,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Australia,2,0,0,0,0
2025-05-09,constellation,appsource.microsoft.com,Sweden,1,0,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,South Africa,1,0,0,0,0
2025-06-04,constellation,app.powerbi.com,United States,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,United States,5,4,0,0,0
2025-05-28,constellation,www.google.com,Singapore,1,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Singapore,2,1,0,0,0
2025-05-23,constellation,Referral domain not present,Singapore,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-24,constellation,ms-pbi.pbi.microsoft.com,Russia,2,1,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,0,0,0,0
2025-04-29,constellation,engage.cloud.microsoft,United States,4,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Argentina,4,2,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Peru,2,1,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,Jordan,2,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Japan,4,2,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,India,3,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,New Zealand,2,2,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,2,0,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,3,1,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,India,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Tunisia,1,0,0,0,0
2025-05-15,constellation,appsource.microsoft.com,United States,4,0,0,0,0
2025-05-31,constellation,app.powerbi.com,United States,2,0,0,0,0
2025-05-13,constellation,www.google.com,Tunisia,1,0,0,0,0
2025-05-16,constellation,app.powerbi.com,United States,2,1,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Angola,1,1,0,0,0
2025-05-18,constellation,ms-pbi.pbi.microsoft.com,Morocco,1,1,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,United States,6,2,0,0,0
2025-05-26,constellation,ms-pbi.pbi.microsoft.com,India,6,3,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-06-05,constellation,www.bing.com,United States,1,0,0,0,0
2025-06-03,constellation,app.powerbi.com,United States,1,1,0,0,0
2025-05-08,constellation,Referral domain not present,United States,1,0,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Bolivia,1,1,0,0,0
2025-05-31,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Australia,3,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Israel,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,India,2,1,0,0,0
2025-05-06,constellation,Referral domain not present,United States,1,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,India,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Ghana,1,0,0,0,0
2025-05-30,constellation,appsource.microsoft.com,Switzerland,1,0,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,0,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Dominican Republic,1,0,0,0,0
2025-05-16,constellation,appsource.microsoft.com,Poland,1,0,0,0,0
2025-05-26,constellation,ms-pbi.pbi.microsoft.com,United States,5,2,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Australia,2,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Brunei,2,1,0,0,0
2025-05-19,constellation,ms-pbi.pbi.microsoft.com,Argentina,1,1,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Mexico,3,1,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,1,0,0,0
2025-05-22,constellation,Referral domain not present,United States,1,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,New Zealand,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Argentina,2,1,0,0,0
2025-05-08,constellation,ms-pbi.pbi.microsoft.com,United States,4,2,0,0,0
2025-05-13,constellation,Referral domain not present,Dominican Republic,2,1,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Argentina,1,0,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,1,0,0,0
2025-05-22,constellation,ms-pbi.pbi.microsoft.com,India,3,1,0,0,0
2025-05-05,constellation,appsource.microsoft.com,Russia,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,Paraguay,1,1,0,0,0
2025-05-04,constellation,appsource.microsoft.com,Peru,1,1,0,0,0
2025-05-05,constellation,ms-pbi.pbi.microsoft.com,Dominican Republic,2,1,0,0,0
2025-04-29,constellation,Referral domain not present,United States,10,2,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,India,2,2,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,0,0,0,0
2025-05-16,constellation,ms-pbi.pbi.microsoft.com,Philippines,1,0,0,0,0
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,Egypt,6,2,0,0,0
2025-05-23,constellation,Referral domain not present,United States,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Palestinian Authority,1,1,0,0,0
2025-05-25,constellation,ms-pbi.pbi.microsoft.com,India,1,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Colombia,1,0,0,0,0
2025-05-15,constellation,appsource.microsoft.com,China,1,0,0,0,0
2025-05-14,constellation,Referral domain not present,Dominican Republic,1,0,0,0,0
2025-05-23,constellation,ms-pbi.pbi.microsoft.com,Japan,1,0,0,0,0
2025-05-03,constellation,Referral domain not present,India,1,0,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-29,constellation,Referral domain not present,Mexico,1,1,0,0,0
2025-05-25,constellation,app.powerbi.com,Indonesia,1,0,0,0,0
2025-05-27,constellation,ms-pbi.pbi.microsoft.com,Australia,4,0,0,0,0
2025-06-05,constellation,appsource.microsoft.com,Canada,1,0,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Singapore,2,0,0,0,0
2025-05-09,constellation,ms-pbi.pbi.microsoft.com,Korea,1,1,0,0,0
2025-05-04,constellation,www.google.com,United States,1,0,0,0,0
2025-05-15,constellation,ms-pbi.pbi.microsoft.com,Morocco,1,1,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,India,3,2,0,0,0
2025-05-11,constellation,ms-pbi.pbi.microsoft.com,Saudi Arabia,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,United States,6,1,0,0,0
2025-05-31,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-06-06,constellation,appsource.microsoft.com,France,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Mexico,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,Peru,7,3,0,0,0
2025-05-16,constellation,Referral domain not present,United States,1,0,0,0,0
2025-04-30,constellation,engage.cloud.microsoft,United States,2,0,0,0,0
2025-06-02,constellation,ms-pbi.pbi.microsoft.com,Curaçao,1,1,0,0,0
